"start_date","portfolio_value","returns","algo_volatility","beta","sharpe","alpha","gross_leverage","benchmark_period_return","max_drawdown"
"2015-01-01",100000,0,0,0,0,0,0,0.00015695365037959874,0
"2015-01-02",99963.08067500002,-0.00036919324999980745,0.004144183953026574,-0.027765797079659864,-11.224972160321824,0.0010982016882526585,0.7377188608238138,0.013612710831009123,-0.0003691932
"2015-01-05",99540.48067500001,-0.004227560786906548,0.0371700700071042,0.1520913702630719,-10.388125150862901,-0.5340663003217606,0.7366053439042225,0.011554203339490421,-0.0045951932
"2015-01-06",98135.98067500001,-0.014109837429715624,0.10434272081371812,0.3409423003397616,-11.294657195121207,-0.7836339426018021,0.7328356990508058,-0.01875596122037515,-0.0186401932
"2015-01-07",98352.73067500001,0.0022086700363021564,0.1027370221117807,0.3485385536886486,-8.093433340742829,-0.45397676046165325,0.7334244764221438,-0.02180448404505786,-0.0164726932
"2015-01-08",98874.78067500002,0.005307936001544096,0.10749730973835467,0.3664317492492905,-4.372010696383907,-0.3909167855827748,0.7348319713478848,-0.005807285064049261,-0.0112521932
"2015-01-09",99567.18067500001,0.007002796823144448,0.11162744430225936,0.3933134508953681,-1.3503739223354692,-0.1638017193532585,0.7366759759867028,0.00021732043898703424,-0.0043281932
"2015-01-12",99317.33067500002,-0.002509360999339065,0.10390210203431272,0.3830145649895901,-2.030192926095994,-0.27814075254450565,0.7360135386562532,0.00486556316177067,-0.0068266932
"2015-01-13",99768.87600000003,0.004546490747698638,0.10128033817871952,0.36818071909002525,-0.5944060721576171,-0.08838957352572903,0.9824110878025727,0.002016250739492964,-0.00231124
"2015-01-14",99284.97600000001,-0.00485020999935915,0.09825385532632892,0.3746898254145102,-1.7954183538264294,-0.1773646443376313,0.9823253620970809,-0.000621898656235409,-0.00715024
"2015-01-15",103399.77600000001,0.041444336955875405,0.2222124218288424,0.7488821259982082,3.5510268997126397,0.33841042704946744,0.9830287253233506,0.025529114902145267,0
"2015-01-16",104545.92600000002,0.011084646837146037,0.21498324549948597,0.7486152602846562,4.447337332929456,0.5067662575282023,0.9832147835201153,0.027901529694423166,0
"2015-01-19",104665.32600000002,0.0011420818062292943,0.20616169525147773,0.7450147726717458,4.388280972591402,0.4293250258344621,0.9832339317416351,0.0323565986936627,0
"2015-01-20",105544.07772500001,0.008395824659257208,0.19912038293022605,0.7097509762633144,4.9778891073201414,0.35418363979211553,0.9994369392742731,0.04985089403213938,0
"2015-01-21",104784.42772500002,-0.007197466843940761,0.1972264958201906,0.7081631979538805,4.077554555887424,0.1646027271436291,0.9994328572833744,0.05394376229973341,-0.0071974668
"2015-01-22",103965.22772500002,-0.007817955566355096,0.1954840701775137,0.7078398767680637,3.226894056096675,-0.009283590038596898,0.9994283884496727,0.05779516341289681,-0.0149591529
"2015-01-23",105160.12772500003,0.011493265836541585,0.1924154412484567,0.7190196469289972,3.9709437321443564,0.06185253859065776,0.9994348834840195,0.06675359484226151,-0.0036378166
"2015-01-26",105160.12772500003,0,0.18701481722794666,0.719412208084972,3.858638145843576,0.05805419759153195,0.9994348834840195,0.06675359484226151,-0.0036378166
"2015-01-27",106185.72772500002,0.009752745857079938,0.18346931356807797,0.7261744412922145,4.431229223099073,0.09679611593018206,0.9994403416892906,0.0757965397756768,0
"2015-01-28",110220.62772500003,0.03799851530376662,0.21708113802138013,0.6729514627523485,5.763403301017299,0.6169887673509917,0.9994608293726263,0.07625532736909424,0
"2015-01-29",110905.32072500003,0.006212022324063562,0.21162862904824048,0.6731448207946409,5.98261674448494,0.6274998893796379,0.9994641580348758,0.080849239982131,0
