"date_time","price","quantity","symbol"
"Tue, 02 Aug 2016 15:29:59 GMT",10938.62795,-1,"BAJFINANCE"
"Tue, 02 Aug 2016 15:29:59 GMT",1181.9907,2,"DIVISLAB"
"Tue, 02 Aug 2016 15:29:59 GMT",1013.3064,3,"RELIANCE"
"Tue, 02 Aug 2016 15:29:59 GMT",1243.92165,2,"HDFCBANK"
"Tue, 09 Aug 2016 15:29:59 GMT",1030.18465,-1,"RELIANCE"
"Tue, 23 Aug 2016 15:29:59 GMT",1313.64285,-2,"DIVISLAB"
"Tue, 23 Aug 2016 15:29:59 GMT",1010.955225,1,"RELIANCE"
"Tue, 06 Sep 2016 15:29:59 GMT",1020.40995,1,"RELIANCE"
"Wed, 14 Sep 2016 15:29:59 GMT",1100.499475,-3,"BAJFINANCE"
"Tue, 20 Sep 2016 15:29:59 GMT",1073.6629,-1,"RELIANCE"
"Tue, 04 Oct 2016 15:29:59 GMT",1299.299325,1,"DIVISLAB"
"Thu, 13 Oct 2016 15:29:59 GMT",1245.87675,-31,"DIVISLAB"
"Thu, 13 Oct 2016 15:29:59 GMT",1056.621425,-1,"RELIANCE"
"Tue, 18 Oct 2016 15:29:59 GMT",1257.221075,-31,"HDFCBANK"
"Tue, 25 Oct 2016 15:29:59 GMT",1141.12915,-1,"BAJFINANCE"
"Tue, 25 Oct 2016 15:29:59 GMT",1060.319575,-37,"RELIANCE"
"Tue, 25 Oct 2016 15:29:59 GMT",1250.92515,31,"HDFCBANK"
"Tue, 01 Nov 2016 15:29:59 GMT",1288.2438,30,"DIVISLAB"
"Tue, 01 Nov 2016 15:29:59 GMT",1051.5255,37,"RELIANCE"
"Tue, 08 Nov 2016 15:29:59 GMT",1002.99825,-37,"RELIANCE"
"Tue, 08 Nov 2016 15:29:59 GMT",983.20815,-36,"BAJFINANCE"
"Tue, 15 Nov 2016 15:29:59 GMT",1254.122625,-1,"HDFCBANK"
"Tue, 22 Nov 2016 15:29:59 GMT",1178.760325,-30,"DIVISLAB"
"Tue, 22 Nov 2016 15:29:59 GMT",1197.450975,-30,"HDFCBANK"
"Tue, 06 Dec 2016 15:29:59 GMT",1005.7026,37,"RELIANCE"
"Tue, 06 Dec 2016 15:29:59 GMT",898.499025,40,"BAJFINANCE"
"Tue, 13 Dec 2016 15:29:59 GMT",1039.2801,-1,"RELIANCE"
"Tue, 13 Dec 2016 15:29:59 GMT",837.168375,3,"BAJFINANCE"
"Tue, 20 Dec 2016 15:29:59 GMT",806.2029,1,"BAJFINANCE"
"Tue, 20 Dec 2016 15:29:59 GMT",1141.620525,31,"DIVISLAB"
"Tue, 20 Dec 2016 15:29:59 GMT",1057.37105,-1,"RELIANCE"
"Tue, 20 Dec 2016 15:29:59 GMT",1182.49095,31,"HDFCBANK"
"Tue, 27 Dec 2016 15:29:59 GMT",809.345125,-2,"BAJFINANCE"
"Tue, 27 Dec 2016 15:29:59 GMT",788.055775,-31,"DIVISLAB"
"Tue, 27 Dec 2016 15:29:59 GMT",1064.16765,-3,"RELIANCE"
"Tue, 27 Dec 2016 15:29:59 GMT",1184.6074,-2,"HDFCBANK"
"Tue, 03 Jan 2017 15:29:59 GMT",883.558,-2,"BAJFINANCE"
"Tue, 17 Jan 2017 15:29:59 GMT",913.892825,-1,"BAJFINANCE"
"Tue, 24 Jan 2017 15:29:59 GMT",1026.78635,-32,"RELIANCE"
"Tue, 24 Jan 2017 15:29:59 GMT",929.285125,-1,"BAJFINANCE"
"Tue, 31 Jan 2017 15:29:59 GMT",1045.7226,35,"RELIANCE"
"Tue, 31 Jan 2017 15:29:59 GMT",1036.38155,-3,"BAJFINANCE"
"Tue, 07 Feb 2017 15:29:59 GMT",738.26895,48,"DIVISLAB"
"Tue, 14 Feb 2017 15:29:59 GMT",724.86225,1,"DIVISLAB"
"Tue, 14 Feb 2017 15:29:59 GMT",1049.2751,-35,"RELIANCE"
"Tue, 21 Feb 2017 15:29:59 GMT",762.7812,1,"DIVISLAB"
"Tue, 21 Feb 2017 15:29:59 GMT",1088.7441,35,"RELIANCE"
"Tue, 21 Feb 2017 15:29:59 GMT",1414.842225,-1,"HDFCBANK"
"Tue, 28 Feb 2017 15:29:59 GMT",759.229425,1,"DIVISLAB"
"Tue, 28 Feb 2017 15:29:59 GMT",1237.430975,-3,"RELIANCE"
"Tue, 28 Feb 2017 15:29:59 GMT",1108.7541,1,"BAJFINANCE"
"Tue, 07 Mar 2017 15:29:59 GMT",1304.297525,-1,"RELIANCE"
"Tue, 07 Mar 2017 15:29:59 GMT",1052.9262,1,"BAJFINANCE"
"Tue, 14 Mar 2017 15:29:59 GMT",772.235925,1,"DIVISLAB"
"Tue, 21 Mar 2017 15:29:59 GMT",1264.4319,1,"RELIANCE"
"Tue, 21 Mar 2017 15:29:59 GMT",1173.962725,-1,"BAJFINANCE"
"Tue, 28 Mar 2017 15:29:59 GMT",632.78345,-52,"DIVISLAB"
"Tue, 28 Mar 2017 15:29:59 GMT",1245.127125,-1,"RELIANCE"
"Tue, 28 Mar 2017 15:29:59 GMT",1194.152625,-3,"BAJFINANCE"
"Wed, 05 Apr 2017 15:29:59 GMT",1414.2925,-2,"RELIANCE"
"Tue, 25 Apr 2017 15:29:59 GMT",647.573625,65,"DIVISLAB"
"Tue, 02 May 2017 15:29:59 GMT",1539.8297,-1,"HDFCBANK"
"Tue, 09 May 2017 15:29:59 GMT",631.733975,-65,"DIVISLAB"
"Tue, 09 May 2017 15:29:59 GMT",1329.684825,-29,"RELIANCE"
"Tue, 09 May 2017 15:29:59 GMT",1285.45695,-1,"BAJFINANCE"
"Tue, 16 May 2017 15:29:59 GMT",1356.97815,30,"RELIANCE"
"Tue, 23 May 2017 15:29:59 GMT",1304.897225,-30,"RELIANCE"
"Tue, 23 May 2017 15:29:59 GMT",1568.31545,-1,"HDFCBANK"
"Tue, 30 May 2017 15:29:59 GMT",1360.029675,30,"RELIANCE"
"Tue, 06 Jun 2017 15:29:59 GMT",630.565125,65,"DIVISLAB"
"Tue, 06 Jun 2017 15:29:59 GMT",1313.4564,1,"RELIANCE"
"Tue, 06 Jun 2017 15:29:59 GMT",1335.981675,-1,"BAJFINANCE"
"Tue, 20 Jun 2017 15:29:59 GMT",644.772225,1,"DIVISLAB"
"Tue, 27 Jun 2017 15:29:59 GMT",642.1209,1,"DIVISLAB"
"Tue, 27 Jun 2017 15:29:59 GMT",1436.431425,-1,"RELIANCE"
"Tue, 04 Jul 2017 15:29:59 GMT",654.722475,-2,"DIVISLAB"
