,date,open,high,low,close,volume
0,2017-04-24,908.68,909.99,903.82,907.41,3122893
1,2017-04-25,907.04,909.48,903.0,907.62,3380639
2,2017-04-26,910.3,915.7489999999999,907.56,909.29,2608948
3,2017-04-27,914.39,921.86,912.11,918.38,5305543
4,2017-04-28,948.83,949.59,924.3335,924.99,7364681
5,2017-05-01,927.8,954.4,927.8,948.23,5466544
6,2017-05-02,946.645,950.1,941.413,946.94,3848835
7,2017-05-03,946.0,946.0,935.9,941.03,3582686
8,2017-05-04,944.75,945.0,934.215,937.53,2418381
9,2017-05-05,940.52,940.79,930.3,934.15,2866397
10,2017-05-08,940.95,949.05,939.21,949.04,3415731
11,2017-05-09,952.8,957.89,950.2,952.82,3262113
12,2017-05-10,953.5,953.7499,945.0,948.95,2096512
13,2017-05-11,945.11,950.29,940.775,947.62,2194070
14,2017-05-12,954.5,962.79,951.53,961.35,3625857
15,2017-05-15,958.73,963.15,956.055,957.97,4270625
16,2017-05-16,961.0,970.06,960.91,966.07,3126051
17,2017-05-17,954.7,960.3957,944.12,944.76,5145578
18,2017-05-18,944.8,962.75,944.76,958.49,3939347
19,2017-05-19,962.84,968.92,959.72,959.84,3972089
20,2017-05-22,964.0,971.38,962.9,970.67,2642217
21,2017-05-23,975.02,975.2,966.85,971.54,2415594
22,2017-05-24,976.0,981.0,970.23,980.35,2463052
23,2017-05-25,984.85,999.0,982.11,993.38,4822032
24,2017-05-26,995.0,998.65,989.2491,995.78,3469154
25,2017-05-30,996.51,1001.2,995.52,996.7,3263069
26,2017-05-31,1000.0,1000.12,982.16,994.62,3913115
27,2017-06-01,998.59,998.99,991.37,995.95,2454841
28,2017-06-02,998.99,1008.48,995.67,1006.73,3752328
29,2017-06-05,1007.23,1013.21,1003.51,1011.34,2719859
30,2017-06-06,1012.0,1016.5,1001.25,1003.0,3346432
31,2017-06-07,1005.95,1010.2489999999999,1002.0,1010.07,2823041
32,2017-06-08,1012.06,1013.61,1006.11,1010.27,2767857
33,2017-06-09,1012.5,1012.99,927.0,978.31,7647692
34,2017-06-12,967.0,975.95,945.0,964.91,9447233
35,2017-06-13,977.99,984.5,966.1,980.79,4580011
36,2017-06-14,988.59,990.34,966.71,976.47,3974900
37,2017-06-15,958.7,965.73,950.86,964.17,5373865
38,2017-06-16,996.0,999.75,982.0,987.71,11472662
39,2017-06-19,1017.0,1017.0,989.9,995.17,5043408
40,2017-06-20,998.0,1004.88,992.02,992.59,4076828
41,2017-06-21,998.7,1002.72,992.6518,1002.23,2922473
42,2017-06-22,1002.23,1006.9599,997.2,1001.3,2253433
43,2017-06-23,1002.54,1004.62,998.02,1003.74,2879145
44,2017-06-26,1008.5,1009.8,992.0,993.98,3386157
